tissueType,tissueType2,cellName,geneSymbolmore1,geneSymbolmore2,shortName
any,Eye,Rod photoreceptor cells,"Rho,Pdc,NRL,ROM1,CRX,ARR3,CABP4,CACNA1D,DYNLRB2,EDN2,FRMPD2,GJD2,KCNQ5,KCNA4,LRIT1,LRIT2,MAF,MED1,RORB,RP1L1,TSPAN10,TTC8,Gcap2,Samd7 ,Cerkl ,SAMD11,SLC24A1,RP1,PDE6B",,Rod
any,Eye,Cone photoreceptor cells,"Arr3,Opn1sw,NRL,ROM1,CRX,ARR3,OPN1LW,OPN1MW,CABP4,CACNA1D,EDN2,GJD2,GNB3,KCNQ5,LRIT1,MED1,RP1L1,THRB,TSPAN10,TTC8,Opmw,SLC24A1,RP1,PDE6B",,Cone
any,Eye,Microglial cells,"P2RY12,ITGAM,CD40,PTPRC,CD68,AIF1,CX3CR1,TMEM119,ADGRE1,C1QA,NOS2,TNF,ISYNA1,CCL4,ADORA3,ADRB2,BHLHE41,BIN1,KLF2,NAV3,RHOB,SALL1,SIGLEC8,SLC1A3,SPRY1,TAL1,CX3CR1,CX3CL1",,Microglial
any,Eye,Horizontal cells,"Rcvrn,Prox1,Ntrk1,Lhx1,Lim2,Calb2,CALB1,LIM1,DLG2,TFAP2B,ZEB2,Lim1",,Horizontal
any,Eye,Synapses,"SYP,DLG4,HOMER1,SLC32A1",,Synapses
any,Eye,Retinal pigment epithelial cells,"EZR,RPE65,BEST1,ANO2,BMP2,BMP4,CLU,EFEMP1,IL4,KCNJ5,MED1,RDH5,RGR,SBSPON,TGFBR1,TMEM98,TTC8,TRAF1,Cerkl ",,RPE
any,Eye,Cornea epithelial cells,"KRT3,KLF6",,CEP
any,Eye,Immune cells,"CD25,CD69,CD4,CD3,ITGAM,C1qa,Fcer1g,CD19,CD20,Trac,Ltb,Cd52,Trbc2",,Immune
any,Eye,Fibroblasts,"PAX6,COL1A1,TGFB1,ACTA2,ICAM1,FBLN1,CRHBP,FN1,PDGFRA",,Fibroblasts
any,Eye,Endothelial cells,"PECAM1,VWF,CDH5,BMP2,BMP4,CD34,CD55,FLT1,MED1,TGFBR1,TMEM98,TNFSF12,CD93,SLCO1A4,CLDN5,ICAM1,GNG11",,Endothelial
any,Eye,Pericytes,"Kcnj8, Rgs5, Dlk1,  Abcc9,SUR2B,DLK1,VCAM1",,Pericytes
any,Eye,Extracellular matrix cells,"ANTXR2,COL10A1,EFEMP1,LAMA2,SNTB1,TCF7L2,TGFBR1,TMEM98,VIPR2,ZIC2",,ECMs
any,Eye,Glycinergic amacrine cells,"Pax6,Tfap2a,Fut4,Calb2,Pvalb,Slc6a9,Pcp4,Vip,Thy1,STX1A,MIP, GNAS,ZEB2,TJP2,SEMA3D,POU6F2,KCNMA1,KCNA4,GRM3,GJD2,FRMPD2,Prox1,GlyT1,TgfB2,BE996002,Camkv,TCF4,Efna5,Dab1,Slc6a9",,Glycinergic ACs
any,Eye,Cholinergic GABAergic amacrine cells,"Pax6,Tfap2a,Gad2,Fut4,Calb2,Pvalb,Pcp4,Vip,Thy1,STX1A,MIP, GNAS, ISL1,Gad1,ZEB2,TJP2,SEMA3D,POU6F2,KCNMA1,KCNA4,GRM3,GJD2,FRMPD2,Prox1,Nr4a2,Ngn2,C1ql2,Reln,VAChT,Tac1,Scube2,Cpne4,Sox2,Slit,SCGN ",,Cholinergic GABAergic ACs
